Date (UTC),SM probe 0 [%],SM probe 1 [%],T probe 0 [C],T probe 1 [C]
30/04/2022 00:21,0,0,0,0
30/04/2022 00:51,0,0,0,0
30/04/2022 01:21,0,0,0,0
30/04/2022 01:51,0,0,0,0
30/04/2022 02:21,0,0,0,0
30/04/2022 02:51,0,0,0,0
30/04/2022 03:21,0,0,0,0
30/04/2022 03:51,0,0,0,0
30/04/2022 04:21,0,0,0,0
30/04/2022 04:51,0,0,0,0
30/04/2022 05:21,0,0,0,0
30/04/2022 05:51,0,0,0,0
30/04/2022 06:21,0,0,0,0
30/04/2022 06:51,0,0,0,0
30/04/2022 07:21,0,0,0,0
30/04/2022 07:51,0,0,0,0
30/04/2022 08:21,0,0,0,0
30/04/2022 08:51,0,0,0,0
30/04/2022 09:21,0,0,0,0
30/04/2022 09:51,0,0,0,0
30/04/2022 10:21,0,0,0,0
30/04/2022 11:21,0,0,0,0
30/04/2022 11:51,0,0,0,0
30/04/2022 12:21,0,0,0,0
30/04/2022 12:51,0,0,0,0
30/04/2022 13:21,0,0,0,0
30/04/2022 13:51,0,0,0,0
30/04/2022 14:21,0,0,0,0
30/04/2022 14:51,0,0,0,0
30/04/2022 15:21,0,0,0,0
30/04/2022 15:51,0,0,0,0
30/04/2022 16:21,0,0,0,0
30/04/2022 16:51,0,0,0,0
30/04/2022 17:21,0,0,0,0
30/04/2022 17:51,0,0,0,0
30/04/2022 18:21,0,0,0,0
30/04/2022 18:51,0,0,0,0
30/04/2022 19:21,0,0,0,0
30/04/2022 19:51,0,0,0,0
30/04/2022 20:21,0,0,0,0
30/04/2022 20:51,0,0,0,0
30/04/2022 21:21,0,0,0,0
30/04/2022 21:51,0,0,0,0
30/04/2022 22:21,0,0,0,0
30/04/2022 22:51,0,0,0,0
30/04/2022 23:21,0,0,0,0
30/04/2022 23:51,0,0,0,0
01/05/2022 00:21,0,0,0,0
01/05/2022 00:51,0,0,0,0
01/05/2022 01:21,0,0,0,0
01/05/2022 01:51,0,0,0,0
01/05/2022 02:21,0,0,0,0
01/05/2022 02:51,0,0,0,0
01/05/2022 03:21,0,0,0,0
01/05/2022 03:51,0,0,0,0
01/05/2022 04:21,0,0,0,0
01/05/2022 04:51,0,0,0,0
01/05/2022 05:21,0,0,0,0
01/05/2022 05:51,0,0,0,0
01/05/2022 06:21,0,0,0,0
01/05/2022 06:51,0,0,0,0
01/05/2022 07:21,0,0,0,0
01/05/2022 07:51,0,0,0,0
01/05/2022 08:51,0,0,0,0
01/05/2022 09:21,0,0,0,0
01/05/2022 09:51,0,0,0,0
01/05/2022 10:21,0,0,0,0
01/05/2022 10:51,0,0,0,0
01/05/2022 11:21,0,0,0,0
01/05/2022 11:51,0,0,0,0
01/05/2022 12:21,0,0,0,0
01/05/2022 12:51,0,0,0,0
01/05/2022 13:21,0,0,0,0
01/05/2022 13:51,0,0,0,0
01/05/2022 14:21,0,0,0,0
01/05/2022 14:51,0,0,0,0
01/05/2022 15:21,0,0,0,0
01/05/2022 15:51,0,0,0,0
01/05/2022 16:21,0,0,0,0
01/05/2022 16:51,0,0,0,0
01/05/2022 17:21,0,0,0,0
01/05/2022 17:51,0,0,0,0
01/05/2022 18:21,0,0,0,0
01/05/2022 18:51,0,0,0,0
01/05/2022 19:21,0,0,0,0
01/05/2022 19:51,0,0,0,0
01/05/2022 20:21,0,0,0,0
01/05/2022 20:51,0,0,0,0
01/05/2022 21:21,0,0,0,0
01/05/2022 21:51,0,0,0,0
01/05/2022 22:21,0,0,0,0
01/05/2022 22:51,0,0,0,0
01/05/2022 23:21,0,0,0,0
02/05/2022 00:21,0,0,0,0
02/05/2022 00:51,0,0,0,0
02/05/2022 01:21,0,0,0,0
02/05/2022 01:51,0,0,0,0
02/05/2022 02:21,0,0,0,0
02/05/2022 02:51,0,0,0,0
